STATE,FIPS,2020/7/5,2020/7/12,2020/7/19,2020/7/26,2020/8/2,2020/8/9,2020/8/16,2020/8/23,2020/8/30,2020/9/6,2020/9/13,2020/9/20,2020/9/27,2020/10/4,2020/10/11,2020/10/18,2020/10/25,2020/11/1,2020/11/8,2020/11/15,2020/11/22,2020/11/29,2020/12/6,2020/12/13,2020/12/20,2020/12/27,2021/1/3,2021/1/10,2021/1/17,2021/1/24,2021/1/31,2021/2/7,2021/2/14,2021/2/21,2021/2/28,2021/3/7,2021/3/14,2021/3/21,2021/3/28,2021/4/4,2021/4/11,2021/4/18,2021/4/25,2021/5/2,2021/5/9,2021/5/16,2021/5/23,2021/5/30,2021/6/6,2021/6/13,2021/6/20,2021/6/27,2021/7/4,2021/7/11,2021/7/18,2021/7/25,2021/8/1,2021/8/8,2021/8/15,2021/8/22,2021/8/29,2021/9/5,2021/9/12,2021/9/19,2021/9/26,2021/10/3,2021/10/10,2021/10/17,2021/10/24,2021/10/31,2021/11/7,2021/11/14,2021/11/21,2021/11/28,2021/12/5,2021/12/12,2021/12/19,2021/12/26,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27
MS,28,4756,6591,9138,8863,6998,5128,5450,4853,4461,3149,3477,3600,3499,4471,5373,5090,5073,5730,7456,9063,7549,13519,14489,14164,12912,15254,16591,14001,12154,11167,6588,5566,3900,3864,3232,3258,2105,1767,1578,1342,1698,1340,1627,1356,1551,1565,1136,785,927,836,890,1352,1876,2748,6379,10325,14644,22998,25102,21391,19223,13449,13101,9490,6315,5056,3521,3311,3228,2244,1921,2288,1886,2874,3613,3343,3050,18235,35586,41232,41324,35617,32514,24855,8636,3529,2158,760,984,686,590
MO,29,3805,4716,7141,9292,5692,7893,7189,7457,9175,8754,10242,10067,8347,12662,11174,12152,15107,21815,32521,27196,24101,24709,23081,20686,16542,18398,20666,15579,11179,10145,7754,5379,3936,3682,2825,20142,4037,4373,3795,4170,3841,4188,4081,3701,2815,2770,2998,2752,3798,4250,5238,5773,9568,12633,15650,16292,18220,17565,15269,14848,14949,13701,14139,11766,10321,8608,7242,6289,6096,7007,8835,17810,6535,20040,18326,18230,14088,29753,46747,54350,64598,55556,30060,18425,13282,6884,4446,3227,1963,5383,2400
MT,30,511,797,794,832,813,781,729,885,914,767,1244,1748,2455,3772,4022,4924,5675,6071,7111,8060,6168,6016,5586,4087,2958,2640,4183,3012,2358,2375,1961,1587,1367,1201,834,1079,1285,1170,957,1112,959,964,943,909,764,659,659,478,504,409,367,346,373,431,593,1114,1516,1984,2455,3298,3876,4230,6000,6327,5957,6672,5989,5900,5233,4597,3943,3626,2059,2168,1493,1052,913,2057,5140,7814,8508,11396,10583,6291,5095,4078,5287,621,475,304,233
NE,31,1242,1498,1915,2011,1868,1992,1541,2034,2049,2307,2649,2738,3750,4422,5452,5860,7439,11511,14225,16012,12218,13179,8968,7685,5910,6892,7346,5312,5967,3790,2921,3224,1784,2016,1961,2035,2037,2209,3560,2448,2288,2300,1490,1343,968,587,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3074,4532,4432,4114,3278,3309,5010,7840,6157,3903,8535,6950,5454,4449,7214,17428,23402,27953,22041,10220,4934,2097,1142,21323,1023,760,477,1802
NV,32,5265,7641,7344,7265,6345,5192,4467,3395,2643,2120,2205,2936,3353,3691,4254,5163,5949,7986,10271,12727,17510,16414,18375,17911,13795,12766,17438,13781,9623,7636,6042,4445,2837,2818,2472,3105,1886,1967,1998,2788,2538,2605,2598,2542,2559,1823,1401,1644,1756,1735,2739,3149,3309,5025,5947,7358,7173,7552,7574,7859,8036,7306,8302,6395,5833,4784,4258,4233,3318,5426,4105,4427,2836,4977,4428,4568,5070,10618,24831,39731,39906,33324,17123,8158,4059,4053,3961,2711,20907,1149,1160
NH,33,153,167,229,199,199,169,112,151,173,236,266,201,476,491,531,609,836,1121,1876,2724,2873,4066,5963,5270,4250,4858,5839,5072,5553,3797,2708,2469,2604,2018,1524,1655,1949,2400,2673,2943,2814,2314,1661,1443,1387,768,547,269,253,199,162,163,158,216,255,501,954,1152,1608,1947,2235,2303,3034,3083,3188,3457,3848,3915,715,6732,5202,6033,4739,9473,8468,8173,6514,7772,14567,15178,15499,13863,9152,6769,5373,3900,1749,953,941,1256,1130
NJ,34,2274,2215,2654,3504,2689,3168,2564,2362,2780,2943,3328,4038,5369,6034,7102,10307,13210,18647,26404,31736,30680,38738,39104,35224,35548,34454,37834,42860,35514,35100,25410,26060,20683,22337,23010,24619,27905,29622,31307,26909,25656,20467,11645,8931,3292,3456,2184,1818,1433,2027,1638,1481,1698,2729,4644,6252,8698,11607,13185,13659,14265,14974,15656,14790,12152,11997,10281,8400,9029,8865,10119,13715,14974,23870,30381,38669,90814,116065,116065,122890,80473,48974,21648,15015,11414,10058,8338,7115,6778,6733,8422
NM,35,1702,1947,2028,1734,1283,1185,876,1078,870,615,822,1175,1602,2394,3507,4601,5361,6890,9272,16069,14381,12728,11299,10276,8229,8100,9538,7813,5634,4899,3638,3041,2144,2198,1803,1395,1385,1333,1265,1219,1501,1356,1519,1607,1330,1209,836,659,563,613,573,429,534,882,1215,1894,3252,4758,5199,5669,5843,4472,4823,4053,4987,5081,4739,5113,6296,7508,9296,9834,6171,12232,9202,6969,5842,7370,18991,28686,28758,28595,18813,10710,6673,3442,2480,1788,1058,1025,727
NY,36,4823,5503,4937,4582,4278,4125,4241,4213,5256,5016,5627,5918,8734,10090,9810,11525,14029,18457,31703,35759,45579,61520,69545,73550,76236,87616,107623,109575,94413,85364,61580,61057,53977,50601,51013,47685,44366,62788,56252,51880,43318,33760,25003,18044,13570,10643,6811,4323,3582,2598,2195,2425,3533,5841,9623,15228,22683,28384,31610,29808,34738,33967,34820,35799,33801,34489,32370,27939,25919,28616,36760,43617,44744,59111,68705,94821,167569,221776,225769,249484,213568,115496,54374,36508,24381,15728,12813,11378,14942,16133,25574
NC,37,12713,14002,13633,12953,11147,9829,10871,11488,10318,8250,9321,9510,9117,12882,13985,14587,16386,16660,17881,22759,26083,30183,41632,42544,41662,44479,55436,53860,45016,32889,45871,27298,21374,18525,13633,10598,12561,10254,10656,13307,14324,13243,12825,10726,8904,6452,5453,3589,3099,2525,2316,2203,3150,5458,9071,16151,23063,36197,37598,44311,48158,41389,51507,38454,30859,25510,21834,16483,14196,12152,12161,13117,9133,20575,21728,22807,18314,59502,113687,126133,127065,144280,96665,55747,34636,24359,14744,10719,8495,7694,6366
